basin_id,NSE_training,dd,su_max,beta,ki,kb,NSE_testing
2001,0.458,9.983,43.036,1.575,1.029,11.005,0.479
4001,0.709,3.102,59.541,1.019,1.099,12.239,0.678
6007,0.8,2.023,266.36,1.029,1.111,11.272,0.786
7001,0.317,2.389,33.365,1.016,1.022,10.588,0.309
7002,0.387,3.821,135.548,1.041,1.038,11.145,0.367
8004,0.113,9.872,74.792,1.096,1.156,110.809,0.076
8005,0.084,9.875,33.574,2.234,1.25,320.265,0.043
8006,0.144,9.887,40.659,2.152,1.281,229.11,0.093
9002,0.158,9.347,32.809,2.47,1.236,226.994,0.118
10003,0.403,9.714,101.761,2.238,1.513,233.048,0.304
11001,0.233,9.851,46.66,1.595,1.355,274.926,0.198
11003,0.181,9.907,51.335,1.392,1.275,225.666,0.136
12001,0.524,8.532,155.244,1.028,1.045,10.718,0.456
12002,0.564,7.22,159.091,1.049,1.041,10.567,0.489
13007,0.567,9.737,140.731,1.212,1.024,10.396,0.474
13008,0.647,3.254,187.871,1.576,1.039,10.515,0.601
15006,0.812,2.952,152.611,1.051,1.114,11.238,0.791
15007,0.827,6.346,231.564,1.042,1.079,11.067,0.825
15012,0.775,5.871,133.829,1.031,1.108,11.656,0.726
15016,0.795,3.227,34.404,1.038,1.196,10.799,0.807
15025,0.563,6.841,99.086,1.051,1.027,10.432,0.514
16001,0.784,4.977,91.398,1.074,1.045,10.571,0.704
16004,0.768,1.824,109.807,1.214,1.052,10.477,0.703
18003,0.701,2.676,239.426,1.378,1.046,10.226,0.717
21006,0.697,3.992,184.177,2.013,1.042,10.417,0.644
21009,0.707,2.962,265.966,2.944,1.076,10.65,0.641
21022,0.189,9.813,132.671,3.435,1.217,179.693,0.092
23004,0.446,6.196,134.358,1.628,1.015,10.225,0.401
25001,0.496,5.43,309.347,2.644,1.023,10.629,0.47
27001,0.258,2.389,195.464,4.414,1.248,178.063,0.084
27003,0.714,1.921,260.605,2.292,1.072,11.279,0.64
27007,0.589,2.307,149.801,1.507,1.036,10.276,0.528
27021,0.202,2.146,95.04,1.69,1.219,252.174,0.045
27034,0.544,7.081,88.665,1.088,1.017,10.19,0.49
27041,0.299,9.359,110.29,2.32,1.483,307.684,0.223
27071,0.676,1.651,275.712,3.054,1.091,10.946,0.613
27080,0.714,2.791,147.701,1.361,1.04,10.477,0.64
28015,-4.765,0.528,53.419,1.119,1.616,789.532,-5.198
28018,0.31,2.913,164.965,3.078,1.262,171.471,0.202
28024,0.225,9.703,134.896,3.191,1.322,266.018,0.067
28067,0.269,2.235,124.863,2.52,1.474,293.984,0.123
28080,0.384,9.959,119.71,1.022,1.031,11.284,0.399
28085,0.257,7.874,119.13,2.764,1.581,331.45,0.15
33022,-0.672,7.828,70.486,1.154,1.52,617.891,-0.477
33034,-1.004,9.244,105.423,1.369,2.039,669.409,-1.339
33039,0.225,9.019,127.245,2.576,1.633,393.919,0.037
36006,-0.129,0.036,83.489,1.475,2.036,437.774,-0.268
38001,-0.854,9.726,156.128,1.961,3.832,734.547,-0.799
39002,0.471,4.462,196.941,3.901,1.661,270.944,0.236
39008,0.483,9.486,202.27,4.363,1.776,268.265,0.237
39010,-4.419,0.293,138.705,1.089,1.857,728.336,-4.577
39016,0.085,0.433,154.09,1.474,1.896,472.067,-0.433
39021,0.226,9.649,139.253,2.783,1.772,363.249,0.004
39034,0.582,6.382,294.829,4.676,1.444,127.606,0.42
40003,0.099,9.712,78.97,1.861,1.578,549.212,-0.043
42004,-0.615,0.047,111.518,1.084,1.839,485.348,-1.491
43007,0.39,0.236,141.013,3.18,1.366,272.532,0.254
43008,0.073,9.713,254.734,2.047,3.302,530.912,-0.724
43009,0.179,1.684,79.449,3.919,1.179,233.237,0.123
44001,0.412,2.65,140.761,1.593,1.625,326.327,0.214
