basin_id,NSE_training,dd,sumax,beta,ki,kb,NSE_testing
2001,0.44,6.9404106,29.381773,3.820806,1.1109072,10.033104,0.49
4001,0.69,6.635088,508.8772,1.1800978,1.0688764,10.313635,0.74
6007,0.77,2.0441732,332.62885,2.7327983,1.0639393,10.294401,0.83
7001,0.28,5.353739,200.97478,1.9487942,1.1011686,10.48708,0.35
7002,0.37,3.25363,372.1584,2.519831,1.0864583,10.079798,0.39
8004,0.41,7.1590924,368.89056,1.4832788,1.1028509,10.093581,0.43
8005,0.43,0.5973407,690.3355,1.5478572,1.1818784,10.416255,0.44
8006,0.57,3.6099484,679.0103,2.5381155,1.0633266,10.104046,0.62
9002,0.58,4.2740192,464.9904,3.7394247,1.1761128,10.091005,0.54
10003,0.77,5.9693155,385.849,4.702794,1.0681099,10.485615,0.76
11001,0.72,2.6866598,487.50888,2.9861333,1.2157298,10.020073,0.71
11003,0.61,6.6981583,507.70303,2.5967612,1.0636622,11.381601,0.58
12001,0.52,4.5093565,307.5187,1.2592475,1.0770488,10.0214815,0.57
12002,0.56,7.7480445,525.6294,1.219163,1.0684713,10.097804,0.58
13007,0.57,3.1779141,193.71341,3.1052594,1.123732,10.198509,0.56
13008,0.63,5.852775,393.23456,1.9573452,1.061423,10.116109,0.66
15006,0.82,2.549263,369.92386,1.860896,1.1530839,10.14994,0.83
15007,0.84,4.7081056,404.24136,1.4161581,1.0804294,10.303877,0.85
15012,0.77,3.8782651,366.1265,2.1480887,1.1876504,10.24281,0.78
15016,0.81,2.743402,239.88658,2.0696008,1.1855816,10.028711,0.8
15025,0.55,6.9172597,263.89847,2.5042152,1.1399926,10.055228,0.54
16001,0.78,7.140751,287.66736,3.4018037,1.070732,10.063706,0.76
16004,0.76,5.539519,310.6611,4.695624,1.0960243,10.175252,0.76
18003,0.7,4.602372,383.3196,3.7145574,1.202767,10.016666,0.73
21006,0.69,6.8164043,254.8296,3.0927615,1.0684844,10.109716,0.65
21009,0.69,6.747872,266.8941,3.5004933,1.109003,10.001976,0.65
21022,0.53,5.746959,307.9093,3.6412883,1.0729951,10.003585,0.46
23004,0.41,5.3416696,267.34515,3.2667277,1.1151688,10.159776,0.41
25001,0.48,5.732322,258.65573,3.6784246,1.0713191,10.383662,0.48
27001,0.64,5.6731596,291.30908,4.9217057,1.0664581,10.039971,0.54
27003,0.73,5.2864356,420.22366,3.1856234,1.0641614,10.115568,0.68
27007,0.56,5.1886845,297.5037,3.5294378,1.1052172,10.117276,0.55
27021,0.66,7.516857,382.9492,2.7015083,1.1065236,10.212948,0.62
27034,0.51,6.529038,197.72539,3.677229,1.0980433,10.160793,0.5
27041,0.78,5.752528,669.6588,5.200774,1.0878094,11.025067,0.81
27071,0.65,4.4946938,321.77887,3.0330064,1.090598,10.049703,0.67
27080,0.68,7.3677826,112.24022,2.7161717,1.0795568,10.002935,0.64
28015,0,7.365549,699.7076,5.9256945,1.2929888,320.7193,-1.99
28018,0.67,7.993582,450.0354,5.1602287,1.0612633,10.038206,0.67
28024,0.58,8.100446,347.82507,5.2569737,1.0897775,10.699797,0.57
28067,0.79,5.109126,690.46954,4.8732524,1.0621442,10.338872,0.68
28080,0.07,3.737951,54.614326,1.0158665,1.1278267,48.629414,0.16
28085,0.78,9.224966,696.2639,5.1830654,1.0906076,10.1481085,0.73
33022,0.58,2.0658693,669.7766,5.949314,1.1118245,10.462698,0.53
33034,0.62,5.284341,693.0938,5.837648,1.2792252,25.270462,0.7
33039,0.75,3.6887805,461.5311,5.040134,1.1951094,10.212816,0.76
36006,0.58,6.535283,525.40546,4.8724723,1.1579928,10.000143,0.6
38001,0.12,8.655907,690.0941,5.7516413,1.0662732,13.004423,0.3
39002,0.85,7.9404097,521.54535,5.5729933,1.6157991,10.013626,0.87
39008,0.85,8.290513,536.79126,5.9397573,1.5085796,15.247021,0.88
39010,-1.06,7.7952924,699.4811,5.3693604,1.1793373,376.0869,-0.26
39016,0.68,3.04602,699.5401,4.5494766,1.0969415,69.12603,0.68
39021,0.79,6.8000555,611.26825,5.98955,1.3718966,11.93224,0.73
39034,0.87,6.408849,516.31824,5.886141,1.201588,12.305608,0.86
40003,0.57,8.86884,501.51242,5.2800164,1.0950798,10.160641,0.6
42004,0.48,5.9475904,699.5715,3.868917,1.1638932,156.17741,0.43
43007,0.8,8.180502,666.7423,5.9366875,1.1946487,10.248183,0.81
43008,0.55,6.1556478,698.2152,5.9766507,1.3174741,69.83795,0.37
43009,0.54,6.5955186,236.69798,4.441993,1.1620226,10.064105,0.55
44001,0.76,5.511968,690.6404,3.691682,1.0681869,43.850502,0.65
