basin_id,NSE
2001,0.7
4001,0.8
6007,0.88
7001,0.62
7002,0.63
8004,0.64
8005,0.68
8006,0.71
9002,0.73
10003,0.82
11001,0.78
11003,0.72
12001,0.71
12002,0.73
13007,0.78
13008,0.79
15006,0.88
15007,0.91
15012,0.84
15016,0.83
15025,0.77
16001,0.86
16004,0.86
18003,0.87
21006,0.8
21009,0.75
21022,0.66
23004,0.8
25001,0.76
27001,0.71
27003,0.81
27007,0.75
27021,0.76
27034,0.81
27041,0.86
27071,0.76
27080,0.84
28015,-0.37
28018,0.78
28024,0.74
28067,0.73
28080,0.71
28085,0.79
33022,0.73
33034,0.74
33039,0.8
36006,0.7
38001,0.62
39002,0.87
39008,0.88
39010,0.45
39016,0.81
39021,0.77
39034,0.88
40003,0.73
42004,0.76
43007,0.83
43008,0.56
43009,0.74
44001,0.84
