basin_id,NSE_training,aux_ET,ki,NSE_testing
2001,0.53,1.4996861,5.7873044,0.58
4001,0.68,0.2547605,13.95983,0.75
6007,0.71,0.6979642,10.801638,0.8
7001,0.31,0.44246516,4.4743314,0.44
7002,0.37,0.8007684,6.210407,0.48
8004,0.25,0.5716389,13.751409,0.36
8005,0.24,1.4983237,65.10017,0.24
8006,0.29,0.9606524,52.249565,0.35
9002,0.44,1.2310057,13.573017,0.5
10003,0.6,0.8361379,40.75757,0.61
11001,0.51,0.84590584,38.544033,0.5
11003,0.39,0.76068604,52.510967,0.37
12001,0.35,0.566569,14.946338,0.48
12002,0.42,0.71589094,12.4343605,0.54
13007,0.53,1.0225426,8.532654,0.61
13008,0.52,0.93808997,12.0413265,0.62
15006,0.73,0.66040325,13.201422,0.8
15007,0.76,0.97945046,11.522249,0.83
15012,0.7,0.4690481,13.334576,0.78
15016,0.81,0.0077420915,9.401487,0.85
15025,0.53,0.8066556,7.414702,0.59
16001,0.76,1.0569485,8.548298,0.79
16004,0.75,1.0830559,7.7133584,0.81
18003,0.76,1.4998854,5.552888,0.83
21006,0.69,1.4427418,6.876314,0.69
21009,0.62,1.3450367,9.292178,0.62
21022,0.46,1.4997602,9.4471445,0.47
23004,0.63,1.4997195,3.042384,0.69
25001,0.53,1.4992875,4.833731,0.62
27001,0.57,1.4997898,10.1525345,0.56
27003,0.65,1.350334,9.026025,0.69
27007,0.62,1.3831747,5.193268,0.68
27021,0.45,1.499795,13.1112995,0.55
27034,0.71,1.4669763,3.327089,0.76
27041,0.55,0.9887187,95.4297,0.51
27071,0.52,1.3834202,11.166882,0.64
27080,0.69,1.0485778,7.36918,0.73
28015,0.46,0.915288,361.13144,-0.04
28018,0.48,1.3260409,16.394163,0.52
28024,0.37,1.281791,47.0783,0.37
28067,0.52,1.3299446,33.83318,0.48
28080,0.28,0.24024017,17.755066,0.3
28085,0.54,1.4998472,33.909412,0.52
33022,0.38,0.8215597,212.42429,0.35
33034,0.59,0.9157724,224.05746,0.59
33039,0.47,1.2239373,69.625565,0.49
36006,0.3,1.1431395,96.29128,0.41
38001,0.31,1.0833325,274.64505,0.35
39002,0.65,1.2678226,71.14202,0.63
39008,0.68,1.2612399,78.52128,0.66
39010,0.55,0.95035625,499.90082,0.69
39016,0.71,0.90758586,198.53462,0.72
39021,0.6,1.0784633,114.94672,0.55
39034,0.65,1.0068743,80.26479,0.66
40003,0.36,1.4999161,19.637766,0.42
42004,0.73,0.87356216,296.46262,0.71
43007,0.6,1.3610479,53.43044,0.62
43008,0.67,1.1458788,170.30884,0.67
43009,0.54,1.4999986,7.6257224,0.57
44001,0.71,0.9075791,127.8539,0.67
